nft_id,rank,rarity_score
573,7597,923.4
574,6193,1014.81
575,3383,1232.71
576,9,4405.2
577,6172,1016.1
578,3098,1264.38
579,7900,902.38
580,8447,862.82
581,2595,1324.55
582,2572,1327.52
583,9547,740.25
584,6649,986.08
585,4420,1134.5
586,4825,1104.14
588,7472,931.24
589,7831,907.77
590,1405,1560.34
591,323,2408.05
592,2826,1295.51
593,3226,1249.3
594,4717,1112.2
595,6408,1001.2
596,510,2104.15
597,1773,1473.25
598,5648,1049.45
599,3460,1225.73
600,2894,1287.02
601,3815,1185.63
602,409,2246.38
603,6307,1007.25
604,6798,976.78
605,5008,1092.29
606,7325,940.72
607,6793,977.03
608,1929,1437.43
609,1254,1612.21
610,7437,933.47
611,2015,1418.63
612,38,3783.78
614,9256,788.48
615,9672,703.22
616,3351,1236.39
618,8412,865.29
619,2173,1392.72
620,4216,1150.7
621,821,1801.86
622,3109,1263.85
623,4511,1127.58
624,4968,1094.73
625,8201,881.62
626,1509,1532.34
627,1156,1651.87
628,8725,841.57
629,5198,1079.54
630,422,2229.04
631,5091,1087.05
632,1088,1679.86
633,8699,843.15
634,2046,1412.82
635,9007,817.75
636,3345,1236.8
637,1431,1553.31
638,7234,947.69
639,8949,823.44
640,5103,1086.39
641,5447,1062.13
642,9125,805.63
643,7791,910.26
644,6041,1024.52
645,1094,1676.94
646,9665,705.5
647,6209,1013.45
648,128,2947.8
649,5168,1082.54
650,6993,964.53
651,6410,1001.18
652,85,3135.75
653,8941,824.03
654,1884,1448.49
655,7154,954.22
656,506,2109.42
657,1466,1545.05
658,7638,921.03
659,8068,890.78
660,6538,992.43
661,9027,815.4
662,6429,1000.41
663,1087,1680.03
